train_loss,normal_val_loss
547160.3913352273,492568.36875
419660.7350852273,352122.98125
314574.3913352273,283533.9125
263393.0791903409,246065.075
232873.53089488635,221895.36875
212541.6278409091,205473.73125
198207.0401278409,193272.34375
186796.65269886365,183145.896875
177755.5752840909,175669.665625
171403.10014204544,170176.63125
165603.8778409091,164290.759375
160149.23082386365,159637.15
155856.14985795456,155971.365625
152231.5390625,152201.29375
148762.39595170456,149575.375
146160.9559659091,146781.496875
143087.53835227274,143816.59375
140429.28089488635,141493.846875
138100.2098721591,139570.23125
135658.728515625,136716.38125
133257.71413352274,134747.85
131412.13654119318,132888.121875
129479.93465909091,131149.821875
127821.60706676137,129618.653125
126305.68963068182,128150.4640625
124885.3203125,126979.0125
123682.96200284091,125857.4015625
122552.28480113637,124773.3609375
121510.68625710228,123684.56875
120403.32581676137,122732.984375
119442.36612215909,121838.29375
118615.38725142046,121119.709375
117883.32208806818,120494.140625
117291.26438210228,119919.853125
116745.88334517046,119512.6296875
116356.45667613637,119158.6328125
116032.13103693182,118874.459375
115786.62215909091,118653.640625
115565.31427556818,118437.4125
115339.53000710228,118288.759375
