epoch,train_loss,normal_val_loss,learning_rate
1,-108321.14980859375,-379175.14453125,0.0007285714285714281
2,-454437.944375,-565126.365625,0.0009944209976994512
3,-590554.235,-671187.8359375,0.0009607773678292682
4,-681829.9375,-737463.915625,0.0008986676873578493
5,-733287.775,-784144.475,0.0008119331560284374
6,-778537.0,-737184.9,0.0007059379080137403
7,-820301.749,-858801.55,0.0005872372647446317
8,-854839.1975,-895617.69375,0.0004631723182535814
9,-893149.106,-926612.603125,0.000341415918199284
10,-920949.155,-947117.596875,0.00022949814119905366
11,-936252.1075,-960628.89375,0.00013434059002100215
12,-952507.704,-971319.80625,6.182832410157093e-05
13,-962766.005,-975677.796875,1.644589552857564e-05
14,-966494.072,-976220.853125,1e-06
