reference,candidate,seed_scope,score_variant,seeds,mean_delta,min_delta,max_delta,bootstrap_ci_low,bootstrap_ci_high,positive_seed_deltas
deit_no_aug,deit_strong_aug,all_42_123_2025,selected_top_k,3,0.025113636363636282,-0.00454545454545463,0.07568181818181807,-0.04531060606060601,0.17583522727272735,2
deit_no_aug,deit_strong_aug,all_42_123_2025,fixed_full_map,3,0.02003787878787877,-0.0046590909090908905,0.06931818181818183,-0.051609848484848744,0.15351136363636356,1
deit_no_aug,deit_strong_aug,post_selection_123_2025,selected_top_k,2,-0.00017045454545461247,-0.00454545454545463,0.004204545454545405,-0.050000000000000044,0.0674999999999999,1
deit_no_aug,deit_strong_aug,post_selection_123_2025,fixed_full_map,2,-0.00460227272727276,-0.0046590909090908905,-0.00454545454545463,-0.05624999999999997,0.07,0
resnet18_384,deit_strong_aug,all_42_123_2025,selected_top_k,3,0.023674242424242358,0.01931818181818179,0.028977272727272574,-0.07996306818181813,0.19479166666666659,3
resnet18_384,deit_strong_aug,all_42_123_2025,fixed_full_map,3,0.018598484848484847,0.013863636363636411,0.022613636363636336,-0.09129545454545457,0.1775,3
resnet18_384,deit_strong_aug,post_selection_123_2025,selected_top_k,2,0.02102272727272725,0.01931818181818179,0.022727272727272707,-0.08275284090909094,0.18889204545454527,2
resnet18_384,deit_strong_aug,post_selection_123_2025,fixed_full_map,2,0.0165909090909091,0.013863636363636411,0.01931818181818179,-0.08449005681818175,0.18455681818181816,2
