epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_fraction
1,481464.0471875,403215.595703125,8.625000000000006e-06,34.62474950001342,324167.87109375,520503.59375,1.0
2,324568.3825,297442.58984375,1.575000000000001e-05,34.57643920002738,84636.528046875,187799.265625,1.0
3,261130.0034375,265512.1552734375,2.2875000000000007e-05,34.7421403999906,47111.90296875,70247.328125,1.0
4,232361.62765625,245140.861328125,3e-05,34.876757099991664,55649.4251953125,86174.0078125,1.0
5,212419.898125,229026.9970703125,2.994482312233034e-05,35.17750699998578,66101.0193359375,110054.75,1.0
6,195118.23515625,216638.4384765625,2.9779712418677044e-05,35.210414099972695,80777.2963671875,124668.4296875,1.0
7,182381.678984375,207369.60546875,2.9505924481191513e-05,34.99652139999671,92442.04953125,142765.828125,1.0
8,173940.407421875,197659.3271484375,2.91255430013957e-05,35.23756879998837,105557.2065625,160891.65625,1.0
9,165393.219765625,191513.80859375,2.8641462912031433e-05,35.215742699976545,119062.751484375,174684.25,1.0
10,159974.7371875,184788.9775390625,2.8057368354874373e-05,35.06825180002488,127874.695703125,225065.9375,1.0
11,150514.68953125,180763.99658203125,2.7377704642190367e-05,35.29262199997902,149183.3496875,240724.796875,1.0
12,147354.58109375,177150.51611328125,2.6607644425225186e-05,35.191556599980686,176427.05484375,363447.5625,1.0
13,141712.4065625,171398.55615234375,2.575304832720491e-05,35.256725800049026,158447.59171875,322326.8125,1.0
14,139388.133359375,168521.22412109375,2.482042034045477e-05,35.257746000017505,173503.02625,306717.875,1.0
15,132325.0261328125,164804.66748046875,2.3816858327090118e-05,35.271701199992094,185482.13890625,329904.1875,1.0
16,131614.2140625,161010.5078125,2.2749999999999957e-05,35.23325140000088,213384.076484375,430307.78125,1.0
17,128302.3449609375,158134.19970703125,2.16279647952401e-05,35.23200469999574,219603.974140625,513904.5,1.0
18,122906.028671875,156490.90673828125,2.045929207822215e-05,35.18933850002941,209161.908359375,477266.28125,1.0
19,121175.110234375,154735.26904296875,1.925287615398651e-05,35.21163939998951,257216.86546875,572767.6875,1.0
20,119615.648984375,152609.1708984375,1.8017898576170442e-05,35.23093439999502,246883.055546875,701098.0,1.0
21,118745.670703125,150110.39501953125,1.6763758269841013e-05,35.16195360000711,217099.6775,439892.0625,1.0
22,114652.4959375,148602.373046875,1.549999999999993e-05,35.18078669998795,246133.9159375,657472.0,1.0
23,111786.06888671876,146445.3818359375,1.4236241730158885e-05,35.20335160003742,230007.90921875,523506.4375,1.0
24,111243.3063671875,144492.38232421875,1.2982101423829447e-05,35.244562899984885,240607.7421875,483677.625,1.0
25,108981.263203125,143180.58154296875,1.1747123846013378e-05,35.20032599999104,275164.994765625,639998.625,1.0
26,108713.2478515625,142725.078125,1.0540707921777735e-05,35.37656429997878,227711.542109375,446115.15625,1.0
27,108260.1728125,141481.33935546875,9.372035204759805e-06,35.23070869996445,235251.86859375,506344.625,1.0
28,109050.1524609375,140163.5439453125,8.249999999999972e-06,35.26848389999941,218933.2634375,457039.40625,1.0
29,103748.6922265625,139978.73583984375,7.183141672909825e-06,35.31837480003014,247884.12453125,495477.09375,1.0
30,103055.4880078125,138260.447265625,6.179579659545173e-06,35.23947239998961,207693.28140625,609199.75,1.0
31,101650.59701171875,137778.5517578125,5.24695167279506e-06,35.297570200054906,221734.828125,506528.9375,1.0
32,104954.3901953125,137150.43212890625,4.392355574774832e-06,35.26528750004945,224027.579921875,667036.9375,1.0
33,104162.9965234375,136770.22509765625,3.6222953578096483e-06,35.2590861999779,208117.530546875,395039.0,1.0
34,106888.378359375,136343.765625,2.942631645125676e-06,35.273193200002424,181723.655546875,309959.5625,1.0
35,101579.87546875,136029.97802734375,2.3585370879686024e-06,35.37600069999462,193214.162734375,361062.03125,1.0
36,99494.9205078125,135625.80810546875,1.8744569986043458e-06,35.28063110000221,179999.623984375,292170.75,1.0
37,103097.4476171875,135389.765625,1.4940755188085187e-06,35.17971910000779,170252.57375,373608.28125,1.0
38,100922.8428515625,135281.7646484375,1.2202875813229878e-06,35.1553103000042,176566.046796875,403654.3125,1.0
39,99242.575859375,135076.03759765625,1.0551768776696902e-06,35.275854900013655,175116.369921875,321455.25,1.0
40,96903.93716796875,134885.1240234375,1e-06,35.35601799999131,172083.55765625,292010.8125,1.0
