epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds
1,-164026.78728125,-786147.7125,0.0003666666666666668,20.77317050000056
2,-974420.356,-1172302.296875,0.0006833333333333335,20.205593899998348
3,-1245265.2985,-1382485.21875,0.001,20.197920099999465
4,-1429292.7,-1586429.84375,0.0009966225596921006,20.361523200001102
5,-1587616.022,-1703443.41875,0.000986535912854621,20.31629559999965
6,-1732604.74,-1695693.68125,0.0009698764640825605,20.408653700000286
7,-1846941.469,-1980734.04375,0.0009468695038415435,20.560209100000066
8,-1918856.145,-2038542.95,0.0009178261618007609,20.732846599999903
9,-2035960.177,-2159194.7625,0.0008831391993379289,20.50130370000079
10,-2095302.195,-2201740.5375,0.0008432776981154312,20.56940680000116
11,-2154944.45,-2265611.9625,0.0007987807165555395,20.59653669999898
12,-2241981.518,-2315425.95,0.000750249999999998,20.576415300000008
13,-2315934.617,-2382041.00625,0.0006983418431365557,20.694446900000912
14,-2371757.978,-2468563.8,0.0006437582147391877,20.6724176000007
15,-2418919.389,-2504933.60625,0.00058723726474463,20.906079000000318
16,-2469210.591,-2554753.825,0.0005295433420407806,20.753873900001054
17,-2544402.572,-2630406.20625,0.00047145665795921536,20.668109599999298
18,-2593558.436,-2673289.9125,0.0004137627352553672,20.77629379999962
19,-2647208.774,-2666490.7125,0.00035724178526080967,20.79585649999899
20,-2686804.566,-2742527.9875,0.0003026581568634405,20.81806300000062
21,-2738996.66,-2776813.5625,0.0002507499999999994,20.906318800000008
22,-2772147.67,-2801436.3875,0.0002022192834444582,20.938647900000433
23,-2793749.632,-2866401.1375,0.00015772230188456743,20.86825520000093
24,-2838771.104,-2884616.375,0.00011786080066207032,20.958702500000072
25,-2865415.636,-2907113.1,8.317383819923811e-05,20.919236399999136
26,-2883177.982,-2920577.9,5.413049615845548e-05,20.942676099999517
27,-2899353.118,-2928989.8,3.112353591743872e-05,21.02885779999997
28,-2908471.562,-2934924.9625,1.4464087145377964e-05,21.043825700000525
29,-2915050.136,-2937032.4375,4.377440307899447e-06,20.99284170000101
30,-2917344.144,-2937849.9875,1e-06,20.99521520000053
