config_name,try_number,seed,selected_top_k_pixels,selected_top_k_fraction,calibration_source_group_balanced_tile_roc_auc,calibration_tile_roc_auc,calibration_object_roc_auc,calibration_source_image_roc_auc,calibration_balanced_accuracy,calibration_fpr,calibration_fnr,best_epoch,best_normal_val_loss,final_train_loss,final_normal_val_loss,gradient_clip_fraction_max,gradient_norm_max_before_clip,log_dir
resnet18_384,2,42,147456,1.0,0.9198863636363637,0.9488095238095238,0.9650000000000001,0.8800000000000001,0.7659090909090909,0.05,0.41818181818181815,30,-2937849.9875,-2917344.144,-2937849.9875,,,experiments\printer\fastflow_resnet18_384_printer384_v2_final\try_2_seed_42
resnet18_384,3,123,147456,1.0,0.9368181818181818,0.9535714285714285,0.97,0.92,0.7318181818181818,0.05,0.48636363636363633,30,-2927802.25,-2906524.172,-2927802.25,,,experiments\printer\fastflow_resnet18_384_printer384_v2_final\try_3_seed_123
resnet18_384,4,2025,147456,1.0,0.91875,0.9452380952380952,0.96,0.92,0.725,0.05,0.5,30,-2965243.3,-2943755.61,-2965243.3,,,experiments\printer\fastflow_resnet18_384_printer384_v2_final\try_4_seed_2025
deit_base_distilled_384,1,42,147456,1.0,0.8731818181818182,0.8952380952380953,0.925,0.8,0.7113636363636363,0.05,0.5272727272727273,40,97379.98022460938,102880.5023828125,97379.98022460938,1.0,1839852.625,experiments\printer\fastflow_deit_base_distilled_384_printer384_v2_final\try_1_seed_42
deit_base_distilled_384,2,123,147456,1.0,0.9553409090909091,0.9642857142857143,0.9750000000000001,0.88,0.865909090909091,0.05,0.21818181818181817,40,98305.18627929688,103994.8207421875,98305.18627929688,1.0,2055065.375,experiments\printer\fastflow_deit_base_distilled_384_printer384_v2_final\try_2_seed_123
deit_base_distilled_384,3,2025,147456,1.0,0.9426136363636364,0.9404761904761905,0.97,0.84,0.7454545454545454,0.05,0.4590909090909091,40,81271.27047729492,86972.27176757813,81271.27047729492,1.0,755359.5,experiments\printer\fastflow_deit_base_distilled_384_printer384_v2_final\try_3_seed_2025
