class_name,config_name,seed,selected_top_k_pixels,selected_top_k_fraction,val_selected_image_roc_auc,val_selected_image_average_precision,val_image_roc_auc,val_image_average_precision,val_balanced_accuracy_at_threshold,test_image_roc_auc,test_image_average_precision,test_cohens_d,test_threshold,test_balanced_accuracy_at_val_threshold,test_fpr_at_val_threshold,test_fnr_at_val_threshold,pixel_roc_auc,pixel_average_precision,pixel_num_images,log_dir
metal_nut,resnet18_384,42,1024,0.006944444444444444,0.987012987012987,0.9957910285326252,0.987012987012987,0.9957910285326252,0.9116883116883117,1.0,1.0,3.5223068160500524,-0.2945082187652588,1.0,0.0,0.0,0.9617950607678992,0.5615113549183482,35,experiments/metal_nut/fastflow_resnet18_384/try_1_seed_42
metal_nut,deit_base_distilled_384,42,1024,0.006944444444444444,1.0,1.0,1.0,1.0,0.9545454545454546,0.9948051948051948,0.998390022675737,3.3185245379286568,-0.42721642553806305,0.8636363636363636,0.2727272727272727,0.0,0.9726620755674467,0.6851063705837976,35,experiments/metal_nut/fastflow_deit_base_distilled_384/try_1_seed_42
hazelnut,resnet18_384,42,8192,0.05555555555555555,0.9500000000000001,0.9591711367843476,0.9500000000000001,0.9591711367843476,0.8607142857142858,0.9771428571428571,0.9871704799482636,1.7209699988946008,-0.3774560466408729,0.8857142857142857,0.0,0.22857142857142856,0.9420001286778327,0.4720222144863329,35,experiments/hazelnut/fastflow_resnet18_384/try_1_seed_42
hazelnut,deit_base_distilled_384,42,4096,0.027777777777777776,0.9985714285714286,0.9992063492063493,0.9985714285714286,0.9992063492063493,0.975,1.0,1.0,3.5436226944411264,-0.46880962103605267,1.0,0.0,0.0,0.980528918681303,0.6019361573043551,35,experiments/hazelnut/fastflow_deit_base_distilled_384/try_1_seed_42
