epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_fraction
1,469003.9501488095,351079.36328125,8.625e-06,45.61919719999423,259127.99893043155,457550.03125,1.0
2,300357.99776785716,262201.20703125,1.5750000000000044e-05,45.83880089997547,55063.50581287203,121996.1875,1.0
3,244845.47423735118,225216.68359375,2.2875000000000014e-05,46.10086459998274,60248.62014043899,132473.546875,1.0
4,214013.96595982142,199333.3564453125,3e-05,46.18398370000068,95149.08035714286,230349.828125,1.0
5,190253.98502604166,179697.95263671875,2.99448231223303e-05,46.300845100020524,139419.51413690476,335155.21875,1.0
6,175144.44591703868,166964.1748046875,2.9779712418676983e-05,46.419965200009756,218460.08286830358,920129.875,1.0
7,162963.63160342263,155839.82275390625,2.9505924481191463e-05,46.42380479996791,266423.7990141369,729254.4375,1.0
8,153387.45238095237,147593.50146484375,2.9125543001395624e-05,46.5172885999782,330140.3604910714,901132.0625,1.0
9,145715.6821986607,140780.85888671875,2.864146291203137e-05,46.48243219999131,434655.392531622,1678584.25,1.0
10,140325.8165922619,134440.5244140625,2.8057368354874322e-05,46.52915210003266,513070.1527157738,1489153.625,1.0
11,134599.0851469494,129889.69067382812,2.7377704642190377e-05,46.67414489999646,617238.665922619,1642319.375,1.0
12,130004.98821149554,125808.55834960938,2.660764442522518e-05,46.60829140001442,719383.4783296131,2066323.125,1.0
13,125819.75920758929,121629.39916992188,2.5753048327204945e-05,46.49398510000901,752108.816359747,2271089.0,1.0
14,121122.0754045759,117377.43115234375,2.4820420340454822e-05,46.591844899987336,662877.9489397322,1579885.875,1.0
15,117128.46358816964,113879.84765625,2.3816858327090162e-05,46.584764699975494,825443.8643043155,2084611.375,1.0
16,113496.89490327382,109878.669921875,2.2750000000000018e-05,46.56447470001876,701971.8102678572,1844628.625,1.0
17,110736.87014043899,106552.49096679688,2.1627964795240167e-05,46.604656099982094,823502.1775483631,3126713.75,1.0
18,107094.57317243304,103972.56201171875,2.0459292078222213e-05,46.50214120000601,963946.7975260416,2513706.75,1.0
19,105037.38520740328,101389.17602539062,1.9252876153986572e-05,46.548414499964565,875153.3239397322,2846887.75,1.0
20,101364.6236281622,98720.52453613281,1.80178985761705e-05,46.70248320000246,965478.0068824405,2804185.75,1.0
21,99146.93212890625,95386.64562988281,1.6763758269841067e-05,46.654230599990115,732139.9337797619,2605119.0,1.0
22,96708.36772228422,92874.39538574219,1.5499999999999943e-05,46.56407709995983,911920.62890625,2672392.75,1.0
23,94032.89217703683,90739.072265625,1.4236241730158882e-05,46.56309050001437,954055.972563244,2607448.25,1.0
24,91316.12244233632,89226.65637207031,1.2982101423829439e-05,46.59366459999001,1095115.7115885417,2306313.25,1.0
25,90147.7834937686,87298.59423828125,1.1747123846013393e-05,46.669856299995445,679361.5994233631,2141580.25,1.0
26,87278.11500186012,84943.17987060547,1.054070792177776e-05,46.63858219998656,878887.4951636905,2685095.0,1.0
27,86216.96716889882,83523.67181396484,9.372035204759822e-06,46.61463399999775,950592.5751488095,2881746.5,1.0
28,83622.91156296503,81963.95391845703,8.249999999999979e-06,46.6322829000419,751768.3407738095,1870200.125,1.0
29,83485.73299153645,80544.84982299805,7.183141672909859e-06,46.6371727999649,699187.7571614584,1967489.875,1.0
30,81067.80605497814,79196.21368408203,6.179579659545198e-06,46.737332099990454,578131.8113839285,2299173.25,1.0
31,80288.0778750465,77806.71716308594,5.246951672795078e-06,46.63481800002046,581260.3068266369,1468748.25,1.0
32,79389.4107375372,76724.00479125977,4.3923555747748425e-06,46.54399070004001,537941.6140252976,1514664.25,1.0
33,77681.54005068824,75946.67727661133,3.6222953578096754e-06,46.66462739999406,589752.4119233631,1868802.375,1.0
34,77010.37150355747,75252.2700958252,2.9426316451257115e-06,46.615336999995634,468927.0188802083,1280446.375,1.0
35,76617.40336100261,74493.73947906494,2.358537087968628e-06,46.67327640001895,420890.1689918155,1184843.25,1.0
36,76072.1158156622,74045.24694824219,1.8744569986043628e-06,46.659855899983086,440408.88857886905,1212640.0,1.0
37,75909.35340227399,73577.31889629364,1.49407551880853e-06,46.642825999995694,399763.35695684527,1060023.5,1.0
38,75484.20489093235,73197.42280197144,1.2202875813229929e-06,46.708139800000936,369941.83816964284,1107437.875,1.0
39,74404.88766043527,72989.42251968384,1.055176877669692e-06,46.64047619997291,395344.22219122027,1134127.875,1.0
40,73466.3946765718,72784.56075286865,1e-06,46.647610300045926,359494.4163876488,1447396.25,1.0
