epoch,train_loss,normal_val_loss,learning_rate,epoch_duration_seconds,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_fraction
1,503594.5990625,408548.15625,8.625000000000006e-06,30.86040280002635,305335.70875,466846.90625,1.0
2,343809.070625,294202.72265625,1.575000000000001e-05,30.77618430001894,86283.450546875,186828.0625,1.0
3,272875.1603125,250090.3193359375,2.2875000000000007e-05,31.116018100001384,50224.48609375,69167.75,1.0
4,239269.5746875,221990.46875,3e-05,31.297069699969143,60097.5040625,95030.671875,1.0
5,214722.03890625,201994.1318359375,2.994482312233034e-05,31.421608400007244,85133.9237890625,151781.125,1.0
6,198395.480625,188172.52734375,2.9779712418677044e-05,31.47226569999475,116609.313125,204035.40625,1.0
7,186271.8534375,177466.69970703125,2.9505924481191513e-05,31.40612429997418,148800.891328125,320484.03125,1.0
8,176953.623125,169547.37841796875,2.91255430013957e-05,31.306913999957033,203083.00984375,362057.40625,1.0
9,169891.115390625,162829.78369140625,2.8641462912031433e-05,31.36976400000276,229033.37390625,578933.5625,1.0
10,162646.63015625,156122.72412109375,2.8057368354874373e-05,31.342579000047408,244676.775390625,553390.75,1.0
11,157052.3346875,150714.705078125,2.7377704642190367e-05,31.37546910002129,234610.27140625,464374.1875,1.0
12,150929.9159375,144962.38916015625,2.6607644425225186e-05,31.306322899996303,283269.3709375,701912.25,1.0
13,146406.26375,139831.2314453125,2.575304832720491e-05,31.418116199958604,315468.7275,715065.0,1.0
14,141570.389609375,135886.3623046875,2.482042034045477e-05,31.321050900034606,375708.4596875,1032679.6875,1.0
15,137549.7480859375,132119.47021484375,2.3816858327090118e-05,31.412340999988373,425331.9346875,1086207.125,1.0
16,134678.65203125,128944.4931640625,2.2749999999999957e-05,31.5245300999959,493297.112734375,1289212.75,1.0
17,131636.918359375,126700.20263671875,2.16279647952401e-05,31.447533799975645,635264.4925,1970229.375,1.0
18,128774.750234375,124569.98217773438,2.045929207822215e-05,31.3145975000225,463811.4515625,1151324.375,1.0
19,126804.78578125,122080.08740234375,1.925287615398651e-05,31.535260499978904,655404.414765625,1516775.375,1.0
20,124608.03171875,119914.86010742188,1.8017898576170442e-05,31.433801499952096,686899.97984375,1769688.375,1.0
21,122663.715,118041.53295898438,1.6763758269841013e-05,31.459826500038616,544831.656875,1508345.0,1.0
22,120602.84171875,116022.19018554688,1.549999999999993e-05,31.565368200012017,613852.891484375,1501037.625,1.0
23,118732.245546875,114460.15478515625,1.4236241730158885e-05,31.517033000010997,772605.388125,1922531.0,1.0
24,117113.83859375,113601.61279296875,1.2982101423829447e-05,31.45672110002488,674820.410625,1846867.125,1.0
25,115427.56890625,111659.9521484375,1.1747123846013378e-05,31.472548299992923,520926.42234375,1466482.0,1.0
26,114289.8088671875,110302.88037109375,1.0540707921777735e-05,31.591731299995445,660356.758125,1785129.25,1.0
27,112899.0461328125,109271.57275390625,9.372035204759805e-06,31.509619600023143,548288.50203125,1739690.0,1.0
28,111284.74765625,107684.3974609375,8.249999999999972e-06,31.570920399972238,504713.919375,1491038.625,1.0
29,109799.29875,105989.92163085938,7.183141672909825e-06,31.38732550002169,438811.04046875,1058545.0,1.0
30,108215.64590820312,104681.599609375,6.179579659545173e-06,31.506244299991522,371920.895625,854632.0,1.0
31,107236.5907421875,103751.96264648438,5.24695167279506e-06,31.404305799980648,396960.895,1437304.875,1.0
32,106670.9238671875,102967.79077148438,4.392355574774832e-06,31.667171700042672,455477.17765625,972895.6875,1.0
33,106544.3787109375,102248.375,3.6222953578096483e-06,31.569450499955565,371295.28453125,866131.5,1.0
34,105173.5371484375,101418.51550292969,2.942631645125676e-06,31.611070699989796,359621.379375,827252.75,1.0
35,104474.88462890625,101001.18542480469,2.3585370879686024e-06,31.56113240000559,380241.9153125,1709805.125,1.0
36,104005.62078125,100543.91845703125,1.8744569986043458e-06,31.417631999996956,324659.28,950152.25,1.0
37,103682.620625,100242.49450683594,1.4940755188085187e-06,31.51400119997561,353525.94203125,982997.1875,1.0
38,103567.9872265625,99947.11169433594,1.2202875813229878e-06,31.528926099999808,314726.43796875,882575.3125,1.0
39,102770.1393359375,99687.59606933594,1.0551768776696902e-06,31.583409400016535,324419.825625,735354.9375,1.0
40,102844.1341796875,99511.30505371094,1e-06,31.49781070003519,297703.5603125,832442.5625,1.0
