seed,resnet18_384,deit_base_distilled_384,deit_minus_resnet
42,0.9198863636363637,0.8731818181818182,-0.0467045454545455
123,0.9368181818181818,0.9553409090909091,0.018522727272727302
2025,0.91875,0.9426136363636364,0.02386363636363642
